<TITLE>
The attendance rate for schools at every level by prefecture
<SUBTITLE> 
See PrefectureDataAll excel file
<EXCEL COLUMN RANGE>
See PrefectureDataAll excel file
<VECTOR LABELS>
hokkaido	
aomori	
iwate	
miyagi	
akita	
yamagata	
fukushima	
ibaraki	
tochigi	
gumma	
saitama	
chiba	
tokyo	
kanagawa	
niigata	
toyama	
ishikawa	
fukui	
yamanashi	
nagano	
gifu	
shizuoka	
aichi	
mie	
shiga	
kyoto	
osaka	
hyogo	
nara	
wakayama	
tottori	
shimane	
okayama	
hiroshima	
yamaguchi	
tokushima	
kagawa	
ehime	
kochi	
fukuoka	
saga	
nagasaki	
kumamoto	
oita	
miyazaki	
kagoshima	
okinawa	
<DATA>
46	2	2012	1779	1245	534	19	9.7	9.2	6.4	6.2	2.9	101	2	1940	1110	830	808	639	-	169	19	9.9	9.5	18	-	0.4	6.5	6.5	6.4	30	345	1790	695	213	3	430958	1236	1983	1979	1511	133	335	36	18	18	34	1.2	0.7	6.0	57	512	2850	259	104	278	517	41	476	4.1	2.1	2.0	1.6	290	5149	21
88	-	5064	4055	2816	1239	55	28	28	19	17	8.7	169	-	4167	2284	1883	1942	1626	-	316	56	28	27	51	-	1.4	18	19	19	15	159	708	2364	409	8	430958	2743	4533	4703	3807	129	767	104	54	50	98	1.0	3.7	17	37	254	1453	1352	329	1049	1548	59	1489	19	9.7	9.3	7.6	411	8253	42
128	1	6713	5360	3678	1682	74	37	37	25	23	14	274	-	5559	3124	2435	2526	2135	-	391	80	41	39	70	-	1.2	27	27	27	20	235	1018	2940	522	1	430958	3088	6355	6395	5323	135	937	153	79	75	146	1.2	3.5	26	47	407	2542	1341	303	1481	2284	153	2131	33	17	16	11	617	11604	59
74	7	3508	2965	2052	913	35	18	18	12	11	4.7	170	2	3210	1797	1413	1491	1252	2	237	38	19	19	36	0.0	0.7	13	13	13	12	72	136	1357	321	4	430958	1831	3300	3347	2675	182	490	71	36	35	67	1.5	1.5	12	27	137	406	487	198	804	1221	98	1123	16	8.3	8.0	5.1	312	5124	25
35	3	2067	1715	936	779	20	9.8	10	6.8	6.6	3.3	90	3	1884	919	965	826	655	2	169	21	11	10	19	0.0	0.5	6.9	7.2	7.1	10	89	246	754	216	6	430958	1016	2146	1976	1504	58	414	38	19	18	35	0.3	1.3	6.0	21	137	532	265	182	421	802	25	777	7.3	3.7	3.6	3.7	214	3601	14
42	-	2594	2166	1328	838	26	13	13	9.1	8.2	4.2	79	-	2183	1133	1050	959	801	-	158	28	15	14	26	-	0.4	9.3	9.7	9.4	9	49	115	956	177	2	430958	1217	2446	2362	1946	13	403	53	27	26	51	0.1	1.1	9.0	17	106	583	362	169	772	1202	49	1153	14	7.1	6.8	4.6	208	4445	20
61	5	3086	2837	1951	886	36	18	18	12	12	5.9	139	1	3042	1702	1340	1326	1105	-	221	37	19	18	35	-	0.6	12	13	13	16	148	585	1166	308	1	430958	1876	3321	3431	2769	131	531	72	37	35	69	0.9	1.4	12	51	322	1266	510	179	893	1401	100	1301	18	9.1	9.0	5.5	312	5210	24
44	2	2369	2045	1246	799	20	10	9.8	6.4	6.4	2.9	130	1	2192	1122	1070	781	606	2	173	20	10	9.6	16	0.0	0.3	6.6	6.6	6.5	39	288	987	907	242	3	430958	933	2155	1971	1462	123	386	35	18	17	33	1.1	0.9	6.0	75	305	1691	388	56	219	417	31	386	4.2	2.2	2.0	1.3	257	4436	19
163	2	9538	8654	5852	2802	133	66	67	45	42	22	368	3	9737	5368	4369	4467	3912	-	555	141	72	69	131	-	2.0	47	48	47	10	95	245	5529	749	6	430958	5630	10609	10651	9368	72	1211	274	140	134	265	0.5	5.0	47	20	143	582	2641	484	3017	4886	359	4527	68	34	33	21	918	19812	101
45	-	2333	2135	1419	716	26	13	13	8.6	8.3	3.5	98	1	2280	1202	1078	927	764	3	160	27	14	13	25	0.0	0.4	8.8	9.1	8.8	7	65	109	974	164	10	430958	1228	2116	2067	1682	33	352	48	24	23	46	0.3	1.1	8.0	16	89	352	359	104	498	760	72	688	9.6	4.9	4.7	2.7	223	4169	20
79	-	3608	3317	2283	1034	41	21	20	14	13	5.7	192	2	3478	1820	1658	1462	1248	8	206	41	21	20	38	0.0	0.5	13	14	14	51	596	3960	1252	352	14	430958	2434	3038	3408	2805	203	400	74	38	36	70	1.9	1.0	12	101	950	7093	387	172	760	1212	94	1118	14	7.0	6.7	4.2	440	7272	32
74	4	4222	3883	2630	1253	50	25	24	17	16	7.2	178	2	4145	2417	1728	1832	1489	1	342	52	26	25	49	0.0	1.0	17	18	17	20	269	1413	1475	367	10	430958	2895	4095	4425	3536	94	795	98	50	48	94	1.0	2.5	17	43	377	2861	385	143	742	1124	81	1043	16	7.9	7.9	4.7	589	10283	49
58	4	3042	2698	1869	829	33	16	17	11	10	4.7	139	1	2707	1592	1115	1204	1045	-	159	32	16	16	30	-	0.5	11	11	11	20	148	553	1156	289	9	430958	1634	2871	2836	2360	134	342	61	31	30	58	1.1	1.0	10	52	304	1304	409	215	609	997	61	936	12	6.3	6.1	6.0	281	4871	22
52	1	2884	2680	1861	819	33	17	16	11	11	4.6	145	-	2905	1642	1263	1186	987	10	189	33	17	16	30	0.1	0.5	11	11	11	19	203	985	998	242	5	430958	1627	2513	2702	2233	130	339	62	32	30	59	1.0	1.2	11	39	269	1317	321	133	558	814	72	742	10	5.2	5.1	2.9	394	6787	30
94	-	4785	4362	3037	1325	48	24	24	16	15	6.3	244	4	4388	2589	1799	1710	1446	29	235	48	25	23	45	0.1	0.7	16	16	16	97	919	5885	1603	543	7	430958	3485	3917	4564	3505	524	535	91	47	45	84	3.8	1.9	15	230	1821	12290	537	238	926	1358	164	1194	19	9.8	9.5	6.1	481	8168	36
64	-	4043	3665	2038	1627	47	24	23	16	15	5.5	155	1	3685	1865	1820	1665	1453	17	195	51	26	25	47	0.1	0.8	17	17	16	58	636	4219	1915	273	1	430958	1841	3975	3831	3265	135	431	99	51	48	94	1.0	2.0	17	90	914	8825	1388	276	798	1184	82	1102	18	9.1	8.9	13	399	8111	33
